Name,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Aaron Ramsdale,,,,,,,,,,
Aaron Ramsey,,,,,,73,107,75,49,
Aaron Wan-Bissaka,,,160,,,,,,,
Abderrazak Hamdallah,,167,,,,,,,,
Achraf Bencharki,,,,,,,,,,
Achraf Hakimi,38,76,90,,,,,,,
Adama Traoré,,114,,,,,,,,
Adrien Rabiot,,,,,99,,,,,
Adrien Silva,,,,,,91,,,,
Akram Afif,,,180,,,,,,,
Alassane Pléa,,166,,,,,,,,
Alejandro ‘Papu’ Gomez,,32,148,,,,,,,
Aleksandar Kolarov,,,,,,,,,,
Aleksandar Mitrovic,,,,,,,,,,
Aleksandr Golovin,,,,,,,,,,
Aleksey Miranchuk,,,,,,,,,,
Alessandro Bastoni,,,,,,,,,,
Alex Oxlade-Chamberlain,,,,,,,,,,
Alex Sandro,,,161=,144,90,,,,,
Alex Teixeira,,,,,,,89,,,
Alex Telles,,,,,,,,,,
Alexander Callens,,,,,,,,,,
Alexander Isak,101,,,,,,,,,
Alexander Sørloth,,201,,,,,,,,
Alexandre Lacazette,,,99,150,102,94,61,,,
Alexis Sánchez,,,,130,32,9,10,22,95,
Aliou Dieng,,,,,,,,,,
Alisson,67,26,9,43,,,,,,
Allan,,,,101,,,,,,
Almoez Ali,,,172,,,,,,,
Alphonso Davies,42,23,,,,,,,,
Alvaro Gonzalez,,,,,,,,,,
Álvaro Morata,,95,,,47,71,47,,,
Alvaro Negredo,,,,,,,,,73,
Anastasios Bakasetas,,,,,,,,,,
André Onana,,163,179,,,,,,,
André Silva,154,,,,,,,,,
Andrea Pirlo,,,,,,,42,29,21,8
Andreas Christensen,,,,,,,,,,
André-Frank Zambo Anguissa,,,,,,,,,,
Andrej Kramarić,,171,,,,,,,,
André-Pierre Gignac,,210,,,,,,,,
Andrés Iniesta,,186,,,29,15,12,28,5,4
Andrew Robertson,103,34,23,114,,,,,,
Andriy Yarmolenko,,,,,,,98,,,
Ángel Correa,,156,,,,,,,,
Angel Di María,32,38,39,124,100,43,39,14,72,47
Angeliño,,112,,,,,,,,
Ansu Fati,122,45,,,,,,,,
Ante Rebić,,,,85,,,,,,
Anthony Lopes,,202,,,,,,,,
Anthony Martial,,127,,,,,66,,,
Anthony Modeste,,,,,,,,,,
Antoine Griezmann,76,90,25,6,18,4,28,74,,
Anton Miranchuk,,211,,,,,,,,
Antonio Rüdiger,48,,,,,,,,,
Antony,140,,,,,,,,,
Arda Turan,,,,,,,78,38,70,
Aritz Aduriz,,,,,,67,,,,
Arjen Robben,,,,,79,89,22,4,14,66
Arsen Zakharyan,,,,,,,,,,
Artem Dzyuba,,179,,,,,,,,
Arthur,,,77,110,,,,,,
Arturo Vidal,,176,168=,,66,32,15,33,26,57
Ashley Cole,,,,,,,,,,30
Asmir Begovic,,,,,,,,,96,
Aurélien Tchouaméni,,,,,,,,,,
Axel Witsel,,,110,96,,,,,52,
Aymeric Laporte,153,131,54,,,,,,,
Bafetimbi Gomis,,,,,,,,,,
Baghdad Bounedjah,,,,,,,,,,
Bastian Schweinsteiger,,,,,,,74,25,20,19
Ben Brereton Díaz,,,,,,,,,,
Ben Chilwell,138,,,,,,,,,
Ben Godfrey,,,,,,,,,,
Benjamin André,,,,,,,,,,
Benjamin Mendy,,,,,97,,,,,
Benjamin Pavard,,,,71,,,,,,
Bernardo Silva,45,70,16,68,84,149,167,,,
Blaise Matuidi,,,108,53,,84,53,62,93,
Brahim Díaz,,,,,,,,,,
Branislav Ivanovic,,,,,,,,53,98,
Breel Embolo,,,,,,,,,,
Brendan Gan,,,,,,,,,,
Bruno Fernandes,16,21,69,,,,,,,
Bruno Guimarães,,217,,,,,,,,
Bruno Henrique,157,110,66,,,,,,,
Bruno Petkovic,,,,,,,,,,
Bukayo Saka,95,187,,,,,,,,
Burak Yilmaz,85,,,,,,,,,
Çaglar Söyüncü,,,,,,,,,,
Carles Puyol,,,,,,,,,,46
Carlos Bacca,,,,,,,65,,,
Carlos Sanchez,,,,,,,93,,,
Carlos Soler,,,,,,,,,,
Carlos Tevez,,198,,,,,17,41,46,48
Carlos Vela,,218,107,,,,212=,,,
Casemiro,68,56,61,42,28,53,,,,
César Azpilicueta,50,,155,132,52,146=,90,90,,
Cesc Fàbregas,,,,,93,,63,36,29,36
Chris Smalling,,195,,,,,,,,
Christian Eriksen,,219,41,36,25,140,146=,,101,74
Christian Pulisic,161,128,143,106,77,138,,,,
Christopher Nkunku,127,212,,,,,,,,
Ciro Immobile,66,24,63,73,71,,,,,
Claudio Bravo,,,,,,81,84,,,
Clément Lenglet,,,133,,,,,,,
Conor Coady,,,,,,,,,,
Cristian Arango,,,,,,,,,,
Cristian Romero,121,,,,,,,,,
Cristiano Ronaldo,8,3,4,2,2,1,2,1,2,2
Daley Blind,,,139,,,,,,,
Daley Blind,,,,,,,,89,,
Damián Martínez,,,,,,,,,,
Dani Alves,,,57,135,26,78,58,81,41,43
Dani Carvajal,,,,108,86,,,,,
Dani Ceballos,,,,,,,,,,
Dani Olmo,90,,,,,,,,,
Dani Parejo,,,117,,,,,,,
Daniel Sturridge,,,,,,,,51,,
Daniele De Rossi,,,,,,,,97,38,42
Danilo Pereira,,,,,,,,,,
Danny Ings,,139,,,,,,,,
Dante,,,,,,,,,53,
Darijo Srna,,,,,,,,,,84
Darío Benedetto,,,,,,,,,,
Dario Conca,,,,,,,,,78,
Darwin Nuñez,,173,,,,,,,,
David Alaba,55,31,128,136,94,61,23,44,43,
David De Gea,,105,93,39,23,29,18,55,,
David Luiz,,,,,83,171=,122=,95,50,79
David Neres,,,105,,,,,,,
David Silva,,146,46,20,38,44,30,35,32,18
David Villa,,,,,,,,,,62
David Villa,,,,,,,,,,
Dayot Upamecano,164,52,156=,,,,,,,
Declan Rice,59,,,,,,,,,
Dejan Kulusevski,,106,,,,,,,,
Dele Alli,,,89,45,31,90,,,,
Denis Cheryshev,,,,87,,,,,,
Denzel Dumfries,,,,,,,,,,
Deyverson,,,,,,,,,,
Didier Drogba,,,,,,,,,,49
Diego Carlos,,136,,,,,,,,
Diego Costa,,213,,88,68,46,51,12,35,
Diego Forlan,,,,,,,,,,99
Diego Godín,,,85,34,63,24,40,34,,
Diego Rossi,,193,,,,,,,,
Dimitri Payet,,,,,,27,,,,
Diogo Jota,88,63,,,,,,,,
Divock Origi,,,156=,,,,,,,
Djené Dakonam,,,,,,,,,,
Domenico Berardi,,203,,,,,,,,
Dominic Calvert-Lewin,,80,,,,,,,,
Dominik Szoboszlai,,96,,,,,,,,
Donny van de Beek,,174,33,,,,,,,
Douglas Costa,,,173,102,,63,32,,,
Dries Mertens,,84,78,46,27,,,,,
Dudu,,,,147,,,,,,
Dusan Tadic,89,144,27,,,,,,,
Dusan Vlahovic,57,,,,,,,,,
Duván Zapata,83,57,64,,,,,,,
Eden Hazard,,83,14,7,10,35,13,16,100,58
Éder Militão,,,,,,,,,,
Ederson,75,89,40,59,122,,,,,
Edin Dzeko,150,147,176,54,43,145,,66,,
Edin Visca,,,,,,,,,,
Edinson Cavani,,159,56,21,13,47,54,47,13,10
Edison Flores,,,,,,,,,,
Edmond Tapsoba,,,,,,,,,,
Édouard Mendy,20,214,,,,,,,,
Eduardo Camavinga,155,87,,,,,,,,
Emil Forsberg,128,,,,69,,,,,
Emile Smith Rowe,146,,,,,,,,,
Emiliano Martínez,52,,,,,,,,,
Emin Mahmudov,,,,,,,,,,
Emmanuel Emenike,,,,,,,,,97,
Emmanuel Mayuka,,,,,,,,,,85
Enner Valencia,,,,,,,,94,,
Enock Mwepu,,,,,,,,,,
Enzo Pérez,,194,,,,,,,,
Eran Zahavi,,,175,,,,,,,
Erick Pulgar,,,,,,,,,,
Erling Haaland,7,6,53,,,,,,,
Esteban Andrada,,,,,,,,,,
Éver Banega,,93,,,,95,,,,
Éverton Ribeiro,,122,92,149,,,,,,
Everton Soares,,220,,,,,,,,
Exequiel Palacios,,,177,,,,,,,
Ezequiel Garay,,,,,,,,77,,
Ezequiel Lavezzi,,,,,,,,,,75
Fábian Ruiz,,124,112,,,,,,,
Fabinho,97,51,34,,91,,,,,
Fabio Quagliarella,,,94,,,,,,,
Federico Bernardeschi,,,,,,,,,,
Federico Chiesa,17,140,150,,,,,,,
Federico Marchetti,,,,,,,,,71,
Federico Valverde,,66,,,,,,,,
Felipe Melo,,,,,,,,,,
Ferland Mendy,,181,,,,,,,,
Fernandinho,,168,58,63,101,93,129,,,38
Fernando Llorente,,,,,,,,,,
Fernando Muslera,,,,,,,145,,,
Ferran Torres,141,94,,,,,,,,
Fikayo Tomori,,,,,,,,,,
Filip Kostic,,,,,,,,,,
Florian Neuhaus,,,,,,,,,,
Florian Thauvin,,,,145,,,,,,
Florian Wirtz,133,,,,,,,,,
Francesco Acerbi,,141,,,,,,,,
Francesco Caputo,,208,,,,,,,,
Francesco Totti,,,,,,96,96,79,31,
Franck Kessié,112,151,,,,,,,,
Franck Ribery,,,,,,,76,26,4,28
Franco Armani,,,,118,,,,,,
Frank Lampard,,,,,,,,,88,
Fred,,,,,,,,,,
Fredrik Midtsjo,,,,,,,,,,
Frenkie de Jong,110,79,10,92,,,,,,
Gabriel Barbosa,137,103,52,,,,,,,
Gabriel Jesus,134,117,75,81,39,64,,,,
Gareth Bale,,,106,38,50,6,16,8,7,40
Gavi,98,,,,,,,,,
Georginio Wijnaldum,,73,43,,,,,,,
Gerard Moreno,51,118,,,,,,,,
Gerard Piqué,,130,82,83,58,38,44,93,39,24
Germán Cano,,,,,,,,,,
Germán Pezzella,,,,,,,,,,
Gerson,,,,,,,,,,
Gervinho,,,,,,,,82,,
Gianluca Lapadula,,,,,,,,,,
Gianluigi Buffon,,,,60,16,22,34,72,24,20
Gianluigi Donnarumma,12,129,138,,136,80,,,,
Gio Reyna,,153,,,,,,,,
Giorgian De Arrascaeta,163,121,132,,,,,,,
Giorgio Chiellini,24,142,70,49,56,66,71,103,104,50
Giorgos Masouras,,,,,,,,,,
Giovani Lo Celso,,158,,,,,,,,
Giuseppe Rossi,,,,,,,,,54,
Gonçalo Guedes,,,,,,,,,,
Gonzalo Higuaín,,,135,90,34,14,48,68,56,
Gonzalo Martinez,,,,94,,,,,,
Gonzalo Montiel,,,,,,,,,,
Granit Xhaka,,,,,,,,,,
Guilherme Arana,,,,,,,,,,
Gustavo Gómez,160,,,,,,,,,
Hakan Çalhanoğlu,132,,,,,,,,,
Hakim Ziyech,,60,29,130,140,171=,,,,
Harry Kane,15,20,15,9,5,33,38,,,
Harry Maguire,,204,146,79,,,,,,
Hatem Ben Arfa,,,,,,,,,,92
Héctor Herrera,,,,,,,170=,92,,
Henrikh Mkhitaryan,,196,,,92,57,77,85,,90
Hernanes,,,,,,,,,,71
Hirving Lozano,,,170,98,137,,,,,
Houssem Aouar,,72,,,,,,,,
Hugo Lloris,,113,88,40,81,40,114,76,64,
Hulk,108,,,,,,59,,,83
Iago Aspas,,120,137,125,,,,,,
Idrissa Gueye,,,95,,,,,,,
Ignacio Fernández,,191,,,,,,,,
Igor Stasevich,,,,,,,,,,
Iker Casillas,,,,,,,,88,,12
Iker Muniain,,,,,,,,,,
Ilkay Gundogan,,,,,,,,,44,
Ilkay Gündogan,35,221,,,,85,,,44,
Iñaki Williams,,,,,,,,,,
Isco,,,,28,12,142,91,84,94,
Ismaël Bennacer,,189,161=,,,,,,,
Ivan Perisic,165,,,29,107=,158,,,,
Ivan Rakitic,,,129,13,57,34,20,49,,
Jack Grealish,61,59,,,,,,,,
Jack Wilshere,,,,,,,,91,,
Jackson Martínez,,,,,,,,73,,
Jackson Muleka,,,,,,,,,,
Jadon Sancho,114,29,32,103,,,,,,
Jamal Musiala,159,,,,,,,,,
James Maddison,,,118,,,,,,,
James Milner,,,149,82,,,,,,
James Rodríguez,,134,,70,,89,19,15,,59
Jamie Vardy,119,35,48,,96,19,68,,,
Jan Oblak,33,28,24,27,35,42,217=,,,
Jan Vertonghen,,,147,113,,,217=,,57,
Jason Denayer,,164,,,,,,,,
Javi Martinez,,,,,,,,,99,98
Javier Mascherano,,,,,,62,25,27,63,39
Javier Pastore,,,,,,,85,,,89
Javier Zanetti,,,,,,,,,,41
Jens Petter Hauge,,,,,,,,,,
Jérémy Doku,,,,,,,,,,
Jérôme Boateng,,97,,,,36,35,57,,
Jesús Corona,,190,,,,,,,,
Jesús Navas,,86,,,,,,,,
Joakim Mæhle,96,,,,,,,,,
Joan Jordán,,,,,,,,,,
João Cancelo,63,199,,,,,,,,
João Félix,84,37,35,,,,,,,
João Moutinho,,,,,,,,,,76
João Palhinha,,,,,,,,,,
João Silva,,,,,,,,,,
Joaquin,,,,,,,,,,
Joaquín Correa,,,,,,,,,,
Joe Hart,,,,,,,,,,65
Joël Matip,,,115,,,,,,,
John Stones,,,,86,,165=,106,,,
John Terry,,,,,,,,69,,86
Jonathan David,120,,,,,,,,,
Jonathan Ikoné,,,,,,,,,,
Jonathan Rodriguez,,,,,,,,,,
Jordan Henderson,117,33,74,,,,,,,
Jordan Larsson,,,,,,,,,,
Jordan Pickford,,,,65,,,,,,
Jordi Alba,,138,65,64,89,155,72,,117,55
Jorginho,5,,62,52,130,,,,,
José Juan Macías,,,,,,,,,,
José María Callejón,,,,,,,,86,,
José María Giménez,,,83,100,,,212=,,,
Josef Martínez,,,,154,,,,,,
Joshua Kimmich,18,11,37,67,64,60,,,,
Josip Ilicic,,61,,,,,,,,
Juan Bernat,,,,,,,,,,
Juan Cuadrado,,143,,,,,,56,,
Juan Fernando Quintero,,,,,,,,,,
Juan Mata,,,,,,87,87,,30,32
Juan Zuniga,,,,,,,,,84,
Jude Bellingham,72,,,,,,,,,
Jules Koundé,116,119,,,,,,,,
Julián Álvarez,91,,,,,,,,,
Julian Brandt,,,,,,,,,,
Julian Weigl,,,,,,99,,,,
Junya Ito,,,,,,,,,,
