Name,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Justin Bijlow,,,,,,,,,,
Kaan Ayhan,,,,,,,,,,
Kai Havertz,47,50,86,,,,,,,
Kalidou Koulibaly,130,62,30,56,141,123,,,,
Kalvin Phillips,104,,,,,,,,,
Kaoru Mitoma,,,,,,,,,,
Karim Adeyemi,162,,,,,,,,,
Karim Benzema,4,12,20,48,51,50,33,19,55,35
Kasper Schmeichel,77,155,125,,,72,,,,
Keisuke Honda,,,,,,,,,68,
Kepa Arrizabalaga,,,124,,,,,,,
Kevin De Bruyne,10,4,12,8,4,13,14,,,
Kevin Gameiro,,,,,,59,,,,
Kevin Strootman,,,,,,,,,62,
Kevin Volland,,,,,,,,,,
Keylor Navas,94,67,102,66,78,55,67,,,
Kieran Tierney,,222,,,,,,,,
Kieran Trippier,147,,,72,,,,,,
Kingsley Coman,109,47,119,,,,,,,
Klaas Jan Huntelaar,,,,,,,,,,63
Kodjo Fo-Doh Laba,,,,,,,,,,
Koen Casteels,,,,,,,,,,
Koke,135,101,,141,88,41,70,42,90,
Krzysztof Piatek,,,151,,,,,,,
Kwadwo Asamoah,,,,,,,,,,87
Kyle Walker,74,,165=,80,109,,,,,
Kylian Mbappé,6,7,6,4,8,,,,,
Kyogo Furuhashi,,,,,,,,,,
Laurent Koscielny,,,,,,68,100,,74,
Lautaro Martínez,30,44,47,,,,,,,
Leandro Damião,,,,,,,,,,
Leandro Paredes,,,,,,,,,,
Leon Goretzka,64,40,,,105,,,,,
Leonardo Bonucci,22,152,103,76,45,26,92,,,88
Leonardo Spinazzola,73,,,,,,,,,
Leroy Sané,115,75,91,57,61,,,,,
Lionel Messi,2,2,1,3,1,2,1,2,1,1
Lorenzo Insigne,62,150,140,58,44,148,127,,,
Lorenzo Pellegrini,,,,,,,,,,
Lucas Hernández,,,,69,,,,,,
Lucas Moura,,,67,,,,,,92,
Lucas Ocampos,,53,,,,,,,,
Lucas Paquetá,118,,,,,,,,,
Lucas Torreira,,,,93,,,,,,
Luis Abram,,,,,,,,,,
Luis Alberto,,98,,,,,,,,
Luis Díaz,87,,,,,,,,,
Luis Miguel Rodríguez,,,,,,,,,,
Luis Montes,,,,,,,,,,
Luis Muriel,156,148,,,,,,,,
Luis 'Pulga' Rodríguez,,,,,,,,,,
Luis Sinisterra,,,,,,,,,,
Luis Suárez,19,58,26,14,15,3,4,6,9,21
Luiz Adriano,,,,,,,,78,,
Luka Jovic,,,114,,,,,,,
Luka Modric,40,71,45,1,6,12,31,23,61,80
Lukáš Hrádecký,,,,,,,,,,
Lukas Nmecha,,,,,,,,,,
Lukasz Piszczek,,,,,,,,,85,
Luke Shaw,78,,,,,,,,,
Luuk de Jong,,116,,,,,,,,
Malcom,,,,,,,,,,
Manuel Akanji,,,,,,,,,,
Manuel Locatelli,125,,,,,,,,,
Manuel Neuer,36,15,113,123,40,18,8,3,22,29
Mapou Yanga-M'Biwa,,,,,,,,,,82
Marc-André ter Stegen,149,48,21,44,55,143,217=,,,
Marcel Sabitzer,,68,,,,,,,,
Marcelo,,188,109,18,19,48,88,,60,51
Marcelo Brozovic,81,,130,104,,,,,,
Marcelo Díaz,,,,,,,,,,
Marcelo Martins,,,,,,,,,,
Marco Asensio,,,,62,42,,,,,
Marco Reus,,,80,47,,110,50,40,23,27
Marco Verratti,37,126,81,109,48,45,43,64,76,
Marcos Alonso,,,,77,113,,,,,
Marcos Llorente,71,88,,,,,,,,
Marcos Senesi,,,,,,,,,,
Marcus Rashford,106,41,72,129,75,153,,,,
Marcus Thuram,,137,,,,,,,,
Marek Hamsik,,,,,,82,,,58,97
Marinho (Santos),,,,,,,,,,
Mario Balotelli,,,,,,,,,33,67
Mario Gomez,,,,,,,,,,56
Mario Götze,,,,,,,80,24,34,34
Mario Mandzukic,,,,33,98,,113,71,48,
Mario Mandzukic,,,,,,,,,,77
Mario Pasalic,,,,,,,,,,
Marouane Fellaini,,,,,,,,,,60
Marquinhos,44,49,71,,,122,198=,,86,
Marten de Roon,,,,,,,,,,
Martin Hinteregger,,,,,,,,,,
Martin Ødegaard,,74,152,,,,,,,
Martín Zubimendi,,,,,,,,,,
Mason Greenwood,,145,,,,,,,,
Mason Mount,27,149,142,,,,,,,
Mateo Kovacic,,132,,,,,,,,
Matheus Cunha,,223,,,,,,,,
Mathieu Valbuena,,,,,,,,,,68
Matías Vecino,,,,,,,,,,
Mats Hummels,,177,,,70,51,75,39,66,45
Mattéo Guendouzi,,,,,,,,,,
Matteo Pessina,,,,,,,,,,
Matthijs de Ligt,,69,18,89,,,,,,
Mauro Icardi,,192,60,32,33,49,82,,,
Max Kruse,,,,,,,,,,
Maxence Caqueret,,165,,,,,,,,
Maxence Lacroix,,,,,,,,,,
Maxi Gómez,,175,,,,,,,,
Mehdi Benatia,,,,,,,,83,87,
Mehdi Taremi,,,,,,,,,,
Memphis Depay,49,64,76,84,,,86,96,,
Mesut Özil,,,,99,67,23,26,54,12,17
Michael Olunga,,,,,,,,,,
Michail Antonio,142,,,,,,,,,
Michu,,,,,,,,,80,
Miguel Borja,,,,,,83,,,,
Mike Maignan,,,,,,,,,,
Mikel Merino,,,,,,,,,,
Mikel Oyarzabal,86,107,,,,,,,,
Mikkel Damsgaard,126,,,,,,,,,
Milan Skriniar,,205,121,112,,,,,,
Milot Rashica,,,,,,,,,,
Miralem Pjanic,,125,50,51,85,70,55,58,81,
Miranda,,,,,,,,87,,
Miroslav Klose,,,,,,,,70,,
Mohamed Salah,3,8,5,5,22,65,69,,,
Moisés Caicedo,,207,,,,,,,,
Moussa Dembélé,,185,,,,,,,,91
Moussa Sissoko,,,156=,,,,,,,
Nabil Fékir,152,,,95,115,,109,,,
Naby Keïta,,,,121,53,,,,,
Nacho,,,,148,,,,,,
Nani,,,,,,79,,,,
Nemanja Matic,,,,146,74,,99,48,,
Nemanja Vidic,,,,,,,,,51,64
Neymar,13,9,31,11,3,5,3,7,6,13
N'Golo Kanté,9,55,22,10,17,16,,,,
Nguyễn Quang Hải,,,,,,,,,,
Nguyen Tien Linh,,,,,,,,,,
Nicolás De La Cruz,,,,,,,,,,
Nicolás Lodeiro,,,,,,,,,,
Nicolas Pépé,,,101,,,,,,,
Nicolás Tagliafico,,,134,,,,,,,
Nicoló Barella,26,92,,,,,,,,
Nicolò Zaniolo,,,141,,,,,,,
Niklas Süle,,,165=,,,,,,,
Nikola Vlašić,,161,,,,,,,,
Nolito,,,,,,,83,,,
Odion Ighalo,,,,,,,,,,
Oleksandr Zinchenko,,,,,,,,,,
Olivier Giroud,,170,126,97,,,,,,
Oscar,,,,,,,,46,36,37
Ousmane Dembélé,,,,120,59,100,,,,
Pablo Sarabia,,,,,,,,,,
Pablo Zabaleta,,,,,,,,59,77,
Paco Alcácer,,,104,,,,,,,
Paolo Guerrero,,,,,124,,,,,
Patrice Evra,,,,,,,,,,78
Patrick Bamford,,,,,,,,,,
Patrik Schick,79,,,,,,,,,
Patson Daka,,172,,,,,,,,
Pau Torres,105,,,,,,,,,
Paul Onuachu,,,,,,,,,,
Paul Pogba,69,109,55,16,30,17,11,20,,
Paulinho,,,,,,,,,59,100
Paulo Dybala,131,39,42,26,14,37,118,,,
Pedri,21,157,,,,,,,,
Pedro,,,,,,,,,,72
Pedro Gallese,,,,,,,,,,
Pedro Goncalves,148,,,,,,,,,
Pepe,,,,,,30,,,,96
Pepê (Gremio),,,,,,,,,,
Péter Gulácsi,,,,,,,,,,
Petr Cech,,,,,,,79,,65,44
Phil Foden,25,108,,,,,,,,
Philipp Lahm,,,,,,56,21,9,15,25
Philippe Coutinho,,81,100,25,24,28,46,,,
Pierre-Emerick Aubameyang,,36,28,55,21,8,27,,79,69
Pierre-Emile Højbjerg,100,209,,,,,,,,
Presnel Kimpembe,,99,,,,,,,,
Quincy Promes,,,,,,171=,190=,,,
Radamel Falcao,,,,,41,,,63,16,6
Radja Nainggolan,,,,140,72,104,128,99,,
Rafael Leão,,,,,,,,,,
Rafael Santos Borré,,,178,,,,,,,
Rafinha,,,,,,,,,,
Raheem Sterling,29,27,8,31,62,88,62,52,,
Ramires,,,,,,,,,,61
Raphaël Guerreiro,,154,,,,74,,,,
Raphaël Varane,139,104,73,12,95,118,56,,,
Raphael Veiga,,,,,,,,,,
Raphinha,136,,,,,,,,,
Raúl Albiol,,,,,,,,,,
Raúl Jiménez,,78,111,,,,,,,
Raúl Ruidíaz,,,,,,,,,,
Rayan Aït-Nouri,,,,,,,,,,
Reece James,70,,,,,,,,,
Reinaldo,,,,,,,,,,
Renan Lodi,,182,,,,,,,,
Renato Sanches,,183,,,,54,,,,
Ricardo Pereira,,,167,,,,,,,
Richarlison,143,82,144,122,143,,,,,
Riyad Mahrez,60,77,49,119,126,10,97,,,
Robert Lewandowski,1,1,7,30,7,7,5,30,18,70
Roberto Firmino,80,43,11,23,104,76,,,,
Robin Gosens,111,91,,,,,,,,
Robin van Persie,,,,,,,,45,11,7
Rodri,92,169,145,,,,,,,
Rodrigo Bentancur,,,,,,,,,,
Rodrigo De Paul,46,,,,,,,,,
Rodrigo Moreno,,,171,,,,,,,
Rodrygo,,206,168=,,,,,,,
Rogerio Ceni,,,,,,,,98,,
Romelu Lukaku,11,19,51,41,37,101,108,,,
Rony,,,,,,,,,,
Rúben Dias,14,178,,,,,,,,
Rúben Neves,,,,,,,168,,,
Rui Patrício,,,,,,75,,,,
Ruslan Malinovskyi,,,,,,,,,,
Sadio Mané,23,5,3,19,36,69,119,,,
Safawi Rasid,,,,,,,,,,
Sahruddin Mehemmedeliyev,,,,,,,,,,
Salem Al-Dawsari,,,,,,,,,,
Salman Al-Faraj,,,,,,,,,,
Salomón Rondón,,,,,,,,,,
Salvatore Sirigu,,,,,,,,,,
Samir Handanovic,,,98,,,,130,,82,
Samir Nasri,,,,,,,,,,93
Samuel Eto'o,,,,,,,,,83,54
Samuel Umtiti,,,,35,73,,,,,
Santi Cazorla,,197,97,,,97,95,,67,73
Sardar Azmoun,,215,,,,,,,,
Saúl Ñíguez,,115,116,61,80,,,,,
Sebastián Coates,,,,,,,,,,
Sebastian Giovinco,,,,,,,94,,,
Sébastien Haller,93,,,,,,,,,
Seko Fofana,,,,,,,,,,
Serge Gnabry,41,16,38,,,,,,,
Sergej Milinkovic-Savic,,111,164,138,,,,,,
Sergio Agüero,,65,13,15,20,11,9,10,10,11
Sergio Busquets,82,160,79,50,46,39,24,60,27,14
Sergio Canales,,133,,,,,,,,
Sergio Ramos,,13,36,17,11,25,37,32,45,22
Sergio Reguilón,,216,,,,,,,,
Seydou Doumbia,,,,,,,,100,,
Shinji Kagawa,,,,,,,,,89,94
Simeon Nwankwo,,,,,,,,,,
Simon Kjær,54,,,,,,,,,
Sofiane Feghouli,,,,,,,,,,
Son Heung-min,39,22,19,78,,135,126,,,
Stefan de Vrij,107,102,,,,,,,,
Stefan Savic,,,,,,,,,,
Stefano Sensi,,,,,,,,,,
Stephan El Shaarawy,,,,,,,,,,52
Steve Mandanda,,,,,,,,,,
Steven Alzate,,,,,,,,,,
Steven Berghuis,,200,,,,,,,,
Steven Gerrard,,,,,,,,80,,
Steven Nzonzi,,,,,,,,,,
Sunil Chhetri,,,,,,,,,,
Sven Bender,,184,,,,,,,,
Takehiro Tomiyasu,,,,,,,,,,
Takumi Minamino,,,,,,,,,,
Tammy Abraham,,,87,,,,,,,
Tanguy Ndombele,,,,,,,,,,
Taras Stepanenko,,,,,,,,,,
Teemu Pukki,,,84,,,,,,,
Téji Savanier,,,,,,,,,,
Theo Hernandez,102,123,,,,,,,,
Thiago Alcântara,123=,17,,107,49,98,81,,,
Thiago Almada,,,,,,,,,,
Thiago Silva,58,54,68,74,76,52,41,31,17,16
Thibaut Courtois,53,46,122,37,65,92,36,17,47,
Thomas Lemar,,,,,87,,,,,
Thomas Meunier,,,,75,,,,,,
Thomas Müller,28,14,174,,103,31,6,5,25,33
Thomas Partey,,85,120,,,,,,,
Thorgan Hazard,,,154,,,,,,,
Timo Werner,145,30,59,128,54,,,,,
Timothy Castagne,,,,,,,,,,
Toby Alderweireld,,,,142,82,58,,,75,
Tomas Soucek,144,,,,,,,,,
Toni Kroos,65,42,44,22,9,21,35,11,40,53
Trent Alexander-Arnold,34,18,17,,,,,,,
Unai Simón,151,,,,,,,,,
Valentín Castellanos,,,,,,,,,,
Vedat Muriqi,,,,,,,,,,
Victor Lindelöf,,,,,,,,,,
Victor Osimhen,129,135,136,,,,,,,
Victor Valdes,,,,,,,,,69,
Victor Wanyama,,,,,,,,,,81
Vieirinha,,,,,,,,,,
Vincent Enyeama,,,,,,,,65,,
Vincent Kompany,,,127,111,,,57,37,42,23
Vinicius Junior,31,162,,,,,,,,
Virgil van Dijk,43,10,2,24,,165=,,,,
Wahbi Khazri,,,,,,,,,,
Walter Kannemann,,,,,,,,,,
Wayne Rooney,,,,,,131,60,43,28,31
Wesley Fofana,,,,,,,,,,
Wesley Sneijder,,,,,,,,,,95
Weston McKennie,,,,,,,,,,
Weverton,158,,,,,,,,,
Wilfried Bony,,,,,,,,67,,
Wilfried Zaha,,,,153,,,,,,
William Carvalho,,,,,,,,,,
Willian,,,131,91,117,129,52,,110,26
Wilmar Barrios,,,,,,,,,,
Wissam Ben Yedder,,100,153,,,,,,,
Wojciech Szczesny,,224,123,,,,,,,
Wout Weghorst,,,,,,,,,,
Xabi Alonso,,,,,,,49,21,37,
Xavi,,,,,,,,50,8,3
Xherdan Shaqiri,,,,,,,,,,
Yacine Brahimi,,,,,,,64,61,,
Yann Sommer,113,,161=,,,,,,,
Yannick Carrasco,123=,,,,,77,,,,
Yassine Bounou,,,,,,,,,,
Yaya Toure,,,,,,,29,18,19,9
Yeferson Soteldo,,,,,,,,,,
Yeremi Pino,,,,,,,,,,
Yevhen Konoplyanka,,,,,,,73,,,
Yohan Cabaye,,,,,,,,,91,
Yoshimar Yotún,,,,,,,,,,
Youcef Atal,,,,,,,,,,
Youri Tielemans,99,180,156=,,,,,,,
Youssef El-Arabi,,,,,,,,,,
Youssef En-Nesyri,,,,,,,,,,
Yunis Abdelhamid,,,,,,,,,,
Zeki Çelik,,,,,,,,,,
Zelimkhan Bakayev,,,,,,,,,,
Zlatan Ibrahimovic,56,25,96,117,60,20,7,13,3,5
